time,latitude,longitude,altitude,travelstate
1364564927,43.7067114,-72.287324,0,moving
1364566127,43.7088351,-72.2839127,0,moving
1364567327,43.7087426,-72.2838188,0,moving
1364568527,43.7085471,-72.2842505,0,stationary
1364569730,43.7088681,-72.2842379,0,moving
1364570927,43.7023178,-72.2878303,0,moving
1364572127,43.6997137,-72.2891067,0,moving
1364573327,43.6996631,-72.2892679,0,stationary
1364574527,43.6997305,-72.2890716,0,stationary
1364575727,43.7051351,-72.2885238,0,stationary
1364576927,43.7067092,-72.2873148,0,stationary
1364578127,43.7067242,-72.2873255,0,stationary
1364579327,43.7089949,-72.2840278,0,moving
1364580527,43.7091585,-72.2839256,0,moving
1364581727,43.7090381,-72.2840385,0,stationary
1364582927,43.7090669,-72.2839557,0,stationary
1364584104,43.70768337,-72.28494471,149.1000061,
1364585327,43.7067264,-72.2873047,0,moving
1364586527,43.7067527,-72.2873068,0,moving
1364587727,43.705036,-72.2887467,0,moving
1364588927,43.7067306,-72.2873187,0,moving
1364590127,43.7066851,-72.2873012,0,moving
1364591327,43.7067242,-72.2873307,0,stationary
1364592527,43.706693,-72.2873058,0,stationary
1364593727,43.7067205,-72.2873017,0,stationary
1364594927,43.7043346,-72.2948019,0,moving
1364594932,43.7036918,-72.2889363,0,moving
1364599727,43.7009976,-72.2888659,0,moving
1364600927,43.706596,-72.287053,0,moving
1364602127,43.7029322,-72.2891853,0,moving
1364603327,43.7591342,-72.3292412,0,moving
1364604527,43.7591344,-72.3292406,0,stationary
1364605727,43.7591347,-72.3292419,0,stationary
1364606927,43.7591344,-72.3292383,0,stationary
1364608127,43.7591344,-72.3292383,0,stationary
1364609327,43.7591366,-72.3292368,0,stationary
1364610527,43.7591344,-72.3292405,0,stationary
1364611727,43.7591311,-72.3292376,0,stationary
1364612927,43.7591311,-72.3292376,0,stationary
1364614127,43.7591345,-72.3292409,0,stationary
1364615327,43.7591311,-72.3292376,0,stationary
1364616527,43.7591345,-72.3292409,0,stationary
1364617727,43.7591311,-72.3292376,0,stationary
1364618927,43.7591311,-72.3292376,0,stationary
1364620127,43.7591311,-72.3292376,0,stationary
1364621327,43.7591345,-72.3292409,0,stationary
1364622527,43.7591345,-72.3292409,0,stationary
1364623727,43.7591311,-72.3292376,0,stationary
1364624927,43.7591311,-72.3292376,0,stationary
1364626127,43.7591345,-72.3292409,0,stationary
1364664053,43.7028411,-72.3113251,0,
1364665253,43.7028548,-72.311337,0,stationary
1364666453,43.7028108,-72.3112786,0,stationary
1364667653,43.7028298,-72.3113019,0,stationary
1364668853,43.7028284,-72.3112825,0,stationary
1364670053,43.7028303,-72.3113116,0,stationary
1364671253,43.7028549,-72.3113406,0,stationary
1364672453,43.7028473,-72.3113211,0,stationary
1364673653,43.7028275,-72.3112921,0,stationary
1364674853,43.7028449,-72.3113241,0,stationary
1364676053,43.7027981,-72.3112728,0,stationary
1364677253,43.7027981,-72.3112827,0,stationary
1364678453,43.7028362,-72.311311,0,stationary
1364679635,43.75933973,-72.32901729,248.1000061,
1364680853,43.7591344,-72.3292406,0,moving
1364682053,43.7591311,-72.3292376,0,stationary
1364683253,43.7591311,-72.3292376,0,stationary
1364684453,43.7591343,-72.3292407,0,stationary
1364685653,43.7591311,-72.3292376,0,stationary
1364686853,43.7591347,-72.3292394,0,stationary
1364688053,43.7591346,-72.3292405,0,stationary
1364689253,43.7591343,-72.3292407,0,stationary
1364690453,43.7591355,-72.3292398,0,stationary
